,FSU,Sector,State,NSS-region,District,Stratum,Sub-stratum,Sample HHID,PersonID,Serial no of Activity,Time from,Time to,Multi-activity,Simul-activity,Major-activity,Activity code,Where,Paid-unpaid,Type of enterprise,NSC
51056,20124,2,01,011,07,02,01,03,004,014,16:30,17:30,2,0,1,341,1,03,0,000
51057,20124,2,01,011,07,02,01,03,004,015,17:30,19:00,1,1,1,850,1,01,0,000
51058,20124,2,01,011,07,02,01,03,004,016,17:30,19:00,0,0,2,842,1,01,0,000
51059,20124,2,01,011,07,02,01,03,004,017,19:00,20:00,2,0,1,620,1,01,0,000
51060,20124,2,01,011,07,02,01,03,004,018,20:00,21:00,1,2,1,312,1,03,0,000
51061,20124,2,01,011,07,02,01,03,004,019,20:00,21:00,0,0,2,921,1,01,0,000
51062,20124,2,01,011,07,02,01,03,004,020,21:00,22:00,1,2,1,842,1,01,0,000
51063,20124,2,01,011,07,02,01,03,004,021,21:00,22:00,0,0,2,719,1,01,0,000
51064,20124,2,01,011,07,02,01,03,004,022,22:00,04:00,2,0,1,911,1,01,0,000
51065,20124,2,01,011,07,02,01,04,001,001,04:00,05:30,2,0,1,911,1,01,0,000
51066,20124,2,01,011,07,02,01,04,001,002,05:30,06:00,2,0,1,931,1,01,0,000
51067,20124,2,01,011,07,02,01,04,001,003,06:00,06:30,2,0,1,832,2,01,0,000
51068,20124,2,01,011,07,02,01,04,001,004,06:30,07:30,2,0,1,311,1,03,0,000
51069,20124,2,01,011,07,02,01,04,001,005,07:30,08:30,2,0,1,321,1,03,0,000
51070,20124,2,01,011,07,02,01,04,001,006,08:30,09:00,2,0,1,312,1,03,0,000
51071,20124,2,01,011,07,02,01,04,001,007,09:00,10:00,1,2,1,921,1,01,0,000
51072,20124,2,01,011,07,02,01,04,001,008,09:00,10:00,0,0,2,313,1,03,0,000
51073,20124,2,01,011,07,02,01,04,001,009,10:00,11:00,1,1,1,850,1,01,0,000
51074,20124,2,01,011,07,02,01,04,001,010,10:00,11:00,0,0,2,719,1,01,0,000
51075,20124,2,01,011,07,02,01,04,001,011,11:00,12:00,2,0,1,341,1,03,0,000
51076,20124,2,01,011,07,02,01,04,001,012,12:00,13:00,2,0,1,842,1,01,0,000
51077,20124,2,01,011,07,02,01,04,001,013,13:00,14:00,2,0,1,311,1,03,0,000
51078,20124,2,01,011,07,02,01,04,001,014,14:00,15:00,1,2,1,312,1,03,0,000
51079,20124,2,01,011,07,02,01,04,001,015,14:00,15:00,0,0,2,921,1,01,0,000
51080,20124,2,01,011,07,02,01,04,001,016,15:00,16:00,2,0,1,850,1,01,0,000
51081,20124,2,01,011,07,02,01,04,001,017,16:00,17:00,1,2,1,311,1,03,0,000
51082,20124,2,01,011,07,02,01,04,001,018,16:00,17:00,0,0,2,922,1,01,0,000
51083,20124,2,01,011,07,02,01,04,001,019,17:00,18:00,2,0,1,712,2,01,0,000
51084,20124,2,01,011,07,02,01,04,001,020,18:00,19:00,2,0,1,311,1,03,0,000
51085,20124,2,01,011,07,02,01,04,001,021,19:00,20:00,2,0,1,842,1,01,0,000
51086,20124,2,01,011,07,02,01,04,001,022,20:00,21:00,1,2,1,311,1,03,0,000
51087,20124,2,01,011,07,02,01,04,001,023,20:00,21:00,0,0,2,921,1,01,0,000
51088,20124,2,01,011,07,02,01,04,001,024,21:00,22:30,1,2,1,313,1,03,0,000
51089,20124,2,01,011,07,02,01,04,001,025,21:00,22:30,0,0,2,711,1,01,0,000
51090,20124,2,01,011,07,02,01,04,001,026,22:30,04:00,2,0,1,911,1,01,0,000
51091,20124,2,01,011,07,02,01,04,002,001,04:00,05:30,2,0,1,911,1,01,0,000
51092,20124,2,01,011,07,02,01,04,002,002,05:30,06:00,2,0,1,931,1,01,0,000
51093,20124,2,01,011,07,02,01,04,002,003,06:00,07:30,2,0,1,832,2,01,0,000
51094,20124,2,01,011,07,02,01,04,002,004,07:30,08:00,1,2,1,182,2,01,0,000
51095,20124,2,01,011,07,02,01,04,002,005,07:30,08:00,0,0,2,931,1,01,0,000
51096,20124,2,01,011,07,02,01,04,002,006,08:00,09:00,1,1,1,921,1,01,0,000
51097,20124,2,01,011,07,02,01,04,002,007,08:00,09:00,0,0,2,842,1,01,0,000
51098,20124,2,01,011,07,02,01,04,002,008,09:00,10:00,1,1,1,850,1,01,0,000
51099,20124,2,01,011,07,02,01,04,002,009,09:00,10:00,0,0,2,719,1,01,0,000
51100,20124,2,01,011,07,02,01,04,002,010,10:00,12:00,2,0,1,712,2,01,0,000
51101,20124,2,01,011,07,02,01,04,002,011,12:00,14:00,2,0,1,842,1,01,0,000
51102,20124,2,01,011,07,02,01,04,002,012,14:00,15:00,1,2,1,921,1,01,0,000
51103,20124,2,01,011,07,02,01,04,002,013,14:00,15:00,0,0,2,719,1,01,0,000
51104,20124,2,01,011,07,02,01,04,002,014,15:00,17:00,1,2,1,850,1,01,0,000
51105,20124,2,01,011,07,02,01,04,002,015,15:00,17:00,0,0,2,922,1,01,0,000
51106,20124,2,01,011,07,02,01,04,002,016,17:00,19:00,2,0,1,823,2,01,0,000
51107,20124,2,01,011,07,02,01,04,002,017,19:00,20:00,2,0,1,832,2,01,0,000
51108,20124,2,01,011,07,02,01,04,002,018,20:00,21:00,2,0,1,921,1,01,0,000
51109,20124,2,01,011,07,02,01,04,002,019,21:00,22:00,1,1,1,842,1,01,0,000
51110,20124,2,01,011,07,02,01,04,002,020,21:00,22:00,0,0,2,711,1,01,0,000
51111,20124,2,01,011,07,02,01,04,002,021,22:00,23:00,2,0,1,719,1,01,0,000
51112,20124,2,01,011,07,02,01,04,002,022,23:00,04:00,2,0,1,911,1,01,0,000
51113,20124,2,01,011,07,02,01,04,003,001,04:00,06:00,2,0,1,911,1,01,0,000
51114,20124,2,01,011,07,02,01,04,003,002,06:00,06:30,2,0,1,931,1,01,0,000
51115,20124,2,01,011,07,02,01,04,003,003,06:30,07:30,2,0,1,319,1,03,0,000
51116,20124,2,01,011,07,02,01,04,003,004,07:30,08:30,1,1,1,850,1,01,0,000
51117,20124,2,01,011,07,02,01,04,003,005,07:30,08:30,0,0,2,842,1,01,0,000
51118,20124,2,01,011,07,02,01,04,003,006,08:30,09:00,2,0,1,921,1,01,0,000
51119,20124,2,01,011,07,02,01,04,003,007,09:00,11:00,2,0,1,322,1,03,0,000
51120,20124,2,01,011,07,02,01,04,003,008,11:00,12:30,1,2,1,931,1,01,0,000
51121,20124,2,01,011,07,02,01,04,003,009,11:00,12:30,0,0,2,850,1,01,0,000
51122,20124,2,01,011,07,02,01,04,003,010,12:30,14:00,1,1,1,842,1,01,0,000
51123,20124,2,01,011,07,02,01,04,003,011,12:30,14:00,0,0,2,719,1,01,0,000
51124,20124,2,01,011,07,02,01,04,003,012,14:00,15:00,2,0,1,921,1,01,0,000
51125,20124,2,01,011,07,02,01,04,003,013,15:00,17:00,1,2,1,842,1,01,0,000
51126,20124,2,01,011,07,02,01,04,003,014,15:00,17:00,0,0,2,922,1,01,0,000
51127,20124,2,01,011,07,02,01,04,003,015,17:00,19:00,2,0,1,912,1,01,0,000
51128,20124,2,01,011,07,02,01,04,003,016,19:00,20:00,2,0,1,712,2,01,0,000
51129,20124,2,01,011,07,02,01,04,003,017,20:00,21:00,1,2,1,921,1,01,0,000
51130,20124,2,01,011,07,02,01,04,003,018,20:00,21:00,0,0,2,842,1,01,0,000
